ProviderID, City, State, ZIPCode, PhoneNumber, Score
10033, DOTHAN, AL, 36301, 3347938701, 1.03
10033, DOTHAN, AL, 36301, 3347938701, 2.765
10033, DOTHAN, AL, 36301, 3347938701, 7117
10033, DOTHAN, AL, 36301, 3347938701, 9.198
10033, DOTHAN, AL, 36301, 3347938701, 16
10033, DOTHAN, AL, 36301, 3347938701, 1.74
10033, DOTHAN, AL, 36301, 3347938701, 1.13
10033, DOTHAN, AL, 36301, 3347938701, 4.62
10033, DOTHAN, AL, 36301, 3347938701, 2191
10033, DOTHAN, AL, 36301, 3347938701, 3.288
10033, DOTHAN, AL, 36301, 3347938701, 8
10033, DOTHAN, AL, 36301, 3347938701, 2.433
10033, DOTHAN, AL, 36301, 3347938701, 0.974
10033, DOTHAN, AL, 36301, 3347938701, 2.023
10033, DOTHAN, AL, 36301, 3347938701, 14326
10033, DOTHAN, AL, 36301, 3347938701, 20.321
10033, DOTHAN, AL, 36301, 3347938701, 29
10033, DOTHAN, AL, 36301, 3347938701, 1.427
10033, DOTHAN, AL, 36301, 3347938701, 1.41
10033, DOTHAN, AL, 36301, 3347938701, 3.575
10033, DOTHAN, AL, 36301, 3347938701, 6502
10033, DOTHAN, AL, 36301, 3347938701, 7.803
10033, DOTHAN, AL, 36301, 3347938701, 18
10033, DOTHAN, AL, 36301, 3347938701, 2.307
10033, DOTHAN, AL, 36301, 3347938701, 0.95
10033, DOTHAN, AL, 36301, 3347938701, 3.334
10033, DOTHAN, AL, 36301, 3347938701, 156
10033, DOTHAN, AL, 36301, 3347938701, 5.347
10033, DOTHAN, AL, 36301, 3347938701, 10
10033, DOTHAN, AL, 36301, 3347938701, 1.87
10033, DOTHAN, AL, 36301, 3347938701, NotAvailable
10033, DOTHAN, AL, 36301, 3347938701, 1.741
10033, DOTHAN, AL, 36301, 3347938701, 154
10033, DOTHAN, AL, 36301, 3347938701, 1.721
10033, DOTHAN, AL, 36301, 3347938701, 0
10033, DOTHAN, AL, 36301, 3347938701, 0
10033, DOTHAN, AL, 36301, 3347938701, 0.107
10033, DOTHAN, AL, 36301, 3347938701, 1.148
10033, DOTHAN, AL, 36301, 3347938701, 83773
10033, DOTHAN, AL, 36301, 3347938701, 7.111
10033, DOTHAN, AL, 36301, 3347938701, 3
10033, DOTHAN, AL, 36301, 3347938701, 0.422
10033, DOTHAN, AL, 36301, 3347938701, 0.562
10033, DOTHAN, AL, 36301, 3347938701, 1.073
10033, DOTHAN, AL, 36301, 3347938701, 81130
10033, DOTHAN, AL, 36301, 3347938701, 47.018
10033, DOTHAN, AL, 36301, 3347938701, 37
10033, DOTHAN, AL, 36301, 3347938701, 0.787
10033, BOAZ, AL, 35957, 2565938310, 0.337
10033, BOAZ, AL, 35957, 2565938310, 2.561
10033, BOAZ, AL, 35957, 2565938310, 2786
10033, BOAZ, AL, 35957, 2565938310, 3.767
10033, BOAZ, AL, 35957, 2565938310, 4
10033, BOAZ, AL, 35957, 2565938310, 1.062
10033, BOAZ, AL, 35957, 2565938310, 0.032
10033, BOAZ, AL, 35957, 2565938310, 3.196
10033, BOAZ, AL, 35957, 2565938310, 1028
10033, BOAZ, AL, 35957, 2565938310, 1.543
10033, BOAZ, AL, 35957, 2565938310, 1
10033, BOAZ, AL, 35957, 2565938310, 0.648
10033, BOAZ, AL, 35957, 2565938310, 0.167
10033, BOAZ, AL, 35957, 2565938310, 1.011
10033, BOAZ, AL, 35957, 2565938310, 7368
10033, BOAZ, AL, 35957, 2565938310, 10.965
10033, BOAZ, AL, 35957, 2565938310, 5
10033, BOAZ, AL, 35957, 2565938310, 0.456
10033, BOAZ, AL, 35957, 2565938310, 0.178
10033, BOAZ, AL, 35957, 2565938310, 1.9
10033, BOAZ, AL, 35957, 2565938310, 3305
10033, BOAZ, AL, 35957, 2565938310, 4.297
10033, BOAZ, AL, 35957, 2565938310, 3
10033, BOAZ, AL, 35957, 2565938310, 0.698
10033, BOAZ, AL, 35957, 2565938310, 0.019
10033, BOAZ, AL, 35957, 2565938310, 1.901
10033, BOAZ, AL, 35957, 2565938310, 74
10033, BOAZ, AL, 35957, 2565938310, 2.594
10033, BOAZ, AL, 35957, 2565938310, 1
10033, BOAZ, AL, 35957, 2565938310, 0.386
10033, BOAZ, AL, 35957, 2565938310, NotAvailable
10033, BOAZ, AL, 35957, 2565938310, NotAvailable
10033, BOAZ, AL, 35957, 2565938310, 43
10033, BOAZ, AL, 35957, 2565938310, 0.454
10033, BOAZ, AL, 35957, 2565938310, 0
10033, BOAZ, AL, 35957, 2565938310, NotAvailable
10033, BOAZ, AL, 35957, 2565938310, 0.233
10033, BOAZ, AL, 35957, 2565938310, 4.585
10033, BOAZ, AL, 35957, 2565938310, 36123
10033, BOAZ, AL, 35957, 2565938310, 1.441
10033, BOAZ, AL, 35957, 2565938310, 2
10033, BOAZ, AL, 35957, 2565938310, 1.388
10033, BOAZ, AL, 35957, 2565938310, 0.177
10033, BOAZ, AL, 35957, 2565938310, 0.801
10033, BOAZ, AL, 35957, 2565938310, 36262
10033, BOAZ, AL, 35957, 2565938310, 17.293
10033, BOAZ, AL, 35957, 2565938310, 7
10033, BOAZ, AL, 35957, 2565938310, 0.405
10033, FLORENCE, AL, 35631, 2567688400, 0.138
10033, FLORENCE, AL, 35631, 2567688400, 0.71
10033, FLORENCE, AL, 35631, 2567688400, 11159
10033, FLORENCE, AL, 35631, 2567688400, 17.577
10033, FLORENCE, AL, 35631, 2567688400, 6
10033, FLORENCE, AL, 35631, 2567688400, 0.341
10033, FLORENCE, AL, 35631, 2567688400, 0.141
10033, FLORENCE, AL, 35631, 2567688400, 1.068
10033, FLORENCE, AL, 35631, 2567688400, 5377
10033, FLORENCE, AL, 35631, 2567688400, 9.038
10033, FLORENCE, AL, 35631, 2567688400, 4
10033, FLORENCE, AL, 35631, 2567688400, 0.443
10033, FLORENCE, AL, 35631, 2567688400, 0.373
10033, FLORENCE, AL, 35631, 2567688400, 1.034
10033, FLORENCE, AL, 35631, 2567688400, 13235
10033, FLORENCE, AL, 35631, 2567688400, 23.383
10033, FLORENCE, AL, 35631, 2567688400, 15
10033, FLORENCE, AL, 35631, 2567688400, 0.641
