ProviderID,City,State,ZIPCode,PhoneNumber,Score
10083,FOLEY,AL,36535,2519493400,NotAvailable
10083,FOLEY,AL,36535,2519493400,24
10083,FOLEY,AL,36535,2519493400,0.244
10083,FOLEY,AL,36535,2519493400,0
10083,FOLEY,AL,36535,2519493400,NotAvailable
10083,FOLEY,AL,36535,2519493400,0.036
10083,FOLEY,AL,36535,2519493400,3.532
10083,FOLEY,AL,36535,2519493400,27446
10083,FOLEY,AL,36535,2519493400,1.396
10083,FOLEY,AL,36535,2519493400,1
10083,FOLEY,AL,36535,2519493400,0.716
10083,FOLEY,AL,36535,2519493400,0.167
10083,FOLEY,AL,36535,2519493400,0.855
10083,FOLEY,AL,36535,2519493400,27646
10083,FOLEY,AL,36535,2519493400,14.602
10083,FOLEY,AL,36535,2519493400,6
10083,FOLEY,AL,36535,2519493400,0.411
10085,DECATUR,AL,35601,2563412000,0.062
10085,DECATUR,AL,35601,2563412000,1.229
10085,DECATUR,AL,35601,2563412000,3943
10085,DECATUR,AL,35601,2563412000,5.375
10085,DECATUR,AL,35601,2563412000,2
10085,DECATUR,AL,35601,2563412000,0.372
10085,DECATUR,AL,35601,2563412000,NotAvailable
10085,DECATUR,AL,35601,2563412000,1.388
10085,DECATUR,AL,35601,2563412000,1438
10085,DECATUR,AL,35601,2563412000,2.158
10085,DECATUR,AL,35601,2563412000,0
10085,DECATUR,AL,35601,2563412000,0
10085,DECATUR,AL,35601,2563412000,0.158
10085,DECATUR,AL,35601,2563412000,0.811
10085,DECATUR,AL,35601,2563412000,10011
10085,DECATUR,AL,35601,2563412000,15.382
10085,DECATUR,AL,35601,2563412000,6
10085,DECATUR,AL,35601,2563412000,0.39
10085,DECATUR,AL,35601,2563412000,0.148
10085,DECATUR,AL,35601,2563412000,1.582
10085,DECATUR,AL,35601,2563412000,3971
10085,DECATUR,AL,35601,2563412000,5.162
10085,DECATUR,AL,35601,2563412000,3
10085,DECATUR,AL,35601,2563412000,0.581
10085,DECATUR,AL,35601,2563412000,0.718
10085,DECATUR,AL,35601,2563412000,2.935
10085,DECATUR,AL,35601,2563412000,158
10085,DECATUR,AL,35601,2563412000,5.176
10085,DECATUR,AL,35601,2563412000,8
10085,DECATUR,AL,35601,2563412000,1.546
10085,DECATUR,AL,35601,2563412000,NotAvailable
10085,DECATUR,AL,35601,2563412000,2.684
10085,DECATUR,AL,35601,2563412000,119
10085,DECATUR,AL,35601,2563412000,1.116
10085,DECATUR,AL,35601,2563412000,0
10085,DECATUR,AL,35601,2563412000,0
10085,DECATUR,AL,35601,2563412000,0.019
10085,DECATUR,AL,35601,2563412000,1.841
10085,DECATUR,AL,35601,2563412000,58591
10085,DECATUR,AL,35601,2563412000,2.679
10085,DECATUR,AL,35601,2563412000,1
10085,DECATUR,AL,35601,2563412000,0.373
10085,DECATUR,AL,35601,2563412000,0.137
10085,DECATUR,AL,35601,2563412000,0.562
10085,DECATUR,AL,35601,2563412000,56781
10085,DECATUR,AL,35601,2563412000,27.05
10085,DECATUR,AL,35601,2563412000,8
10085,DECATUR,AL,35601,2563412000,0.296
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,47
10086,WINFIELD,AL,35594,2054877736,0.072
10086,WINFIELD,AL,35594,2054877736,0
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,47
10086,WINFIELD,AL,35594,2054877736,0.072
10086,WINFIELD,AL,35594,2054877736,0
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,0.32
10086,WINFIELD,AL,35594,2054877736,3.422
10086,WINFIELD,AL,35594,2054877736,1559
10086,WINFIELD,AL,35594,2054877736,2.386
10086,WINFIELD,AL,35594,2054877736,3
10086,WINFIELD,AL,35594,2054877736,1.257
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,359
10086,WINFIELD,AL,35594,2054877736,0.466
10086,WINFIELD,AL,35594,2054877736,1
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,1
10086,WINFIELD,AL,35594,2054877736,0.032
10086,WINFIELD,AL,35594,2054877736,0
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,NotAvailable
10086,WINFIELD,AL,35594,2054877736,43
10086,WINFIELD,AL,35594,2054877736,0.535
