ProviderID, City, State, ZIPCode, PhoneNumber, Score
10001, DOTHAN, AL, 36301, 3347938701, 1.03
30136, DOTHAN, AL, 36301, 3347938701, 2.765
10001, DOTHAN, AL, 36301, 3347938701, 7117
10001, DOTHAN, AL, 36301, 3347938701, 9.198
10046, DOTHAN, AL, 36301, 3347938701, 16
10169, DOTHAN, AL, 36301, 3347938701, 1.74
30089, DOTHAN, AL, 36301, 3347938701, 1.13
10078, DOTHAN, AL, 36301, 3347938701, 4.62
10001, DOTHAN, AL, 36301, 3347938701, 2191
10001, DOTHAN, AL, 36301, 3347938701, 3.288
10040, DOTHAN, AL, 36301, 3347938701, 8
10001, DOTHAN, AL, 36301, 3347938701, 2.433
10001, DOTHAN, AL, 36301, 3347938701, 0.974
21302, DOTHAN, AL, 36301, 3347938701, 2.023
10001, DOTHAN, AL, 36301, 3347938701, 14326
10001, DOTHAN, AL, 36301, 3347938701, 20.321
30113, DOTHAN, AL, 36301, 3347938701, 29
20026, DOTHAN, AL, 36301, 3347938701, 1.427
10001, DOTHAN, AL, 36301, 3347938701, 1.41
10001, DOTHAN, AL, 36301, 3347938701, 3.575
10001, DOTHAN, AL, 36301, 3347938701, 6502
10001, DOTHAN, AL, 36301, 3347938701, 7.803
10001, DOTHAN, AL, 36301, 3347938701, 18
10001, DOTHAN, AL, 36301, 3347938701, 2.307
10001, DOTHAN, AL, 36301, 3347938701, 0.95
10001, DOTHAN, AL, 36301, 3347938701, 3.334
21304, DOTHAN, AL, 36301, 3347938701, 156
20024, DOTHAN, AL, 36301, 3347938701, 5.347
10001, DOTHAN, AL, 36301, 3347938701, 10
10001, DOTHAN, AL, 36301, 3347938701, 1.87
10001, DOTHAN, AL, 36301, 3347938701, NotAvailable
21312, DOTHAN, AL, 36301, 3347938701, 1.741
10032, DOTHAN, AL, 36301, 3347938701, 154
10108, DOTHAN, AL, 36301, 3347938701, 1.721
30001, DOTHAN, AL, 36301, 3347938701, 0
10001, DOTHAN, AL, 36301, 3347938701, 0
10125, DOTHAN, AL, 36301, 3347938701, 0.107
10001, DOTHAN, AL, 36301, 3347938701, 1.148
10001, DOTHAN, AL, 36301, 3347938701, 83773
10001, DOTHAN, AL, 36301, 3347938701, 7.111
10079, DOTHAN, AL, 36301, 3347938701, 3
10001, DOTHAN, AL, 36301, 3347938701, 0.422
