buying,maint,persons,lugBoot,safety,classValues
vhigh,vhigh,2,small,low,unacc
vhigh,vhigh,2,small,med,unacc
vhigh,vhigh,2,small,high,unacc
vhigh,vhigh,2,med,low,unacc
vhigh,vhigh,2,med,med,unacc
vhigh,vhigh,2,med,high,unacc
vhigh,vhigh,2,big,low,unacc
vhigh,vhigh,2,big,med,unacc
vhigh,vhigh,2,big,high,unacc
vhigh,vhigh,4,small,low,unacc
vhigh,vhigh,4,small,med,unacc
vhigh,vhigh,4,small,high,unacc
vhigh,vhigh,4,med,low,unacc
vhigh,vhigh,4,med,med,unacc
vhigh,vhigh,4,med,high,unacc
vhigh,vhigh,4,big,low,unacc
vhigh,vhigh,4,big,med,unacc
vhigh,vhigh,4,big,high,unacc
vhigh,vhigh,more,small,low,unacc
vhigh,vhigh,more,small,med,unacc
vhigh,vhigh,more,small,high,unacc
vhigh,vhigh,more,med,low,unacc
vhigh,vhigh,more,med,med,unacc
vhigh,vhigh,more,med,high,unacc
vhigh,vhigh,more,big,low,unacc
vhigh,vhigh,more,big,med,unacc
vhigh,vhigh,more,big,high,unacc
vhigh,vhigh,2,small,low,unacc
vhigh,vhigh,2,small,med,unacc
vhigh,vhigh,2,small,high,unacc
vhigh,vhigh,2,med,low,unacc
vhigh,vhigh,2,med,med,unacc
vhigh,vhigh,2,med,high,unacc
vhigh,vhigh,2,big,low,unacc
vhigh,vhigh,2,big,med,unacc
vhigh,vhigh,2,big,high,unacc
vhigh,vhigh,4,small,low,unacc
vhigh,vhigh,4,small,med,unacc
vhigh,vhigh,4,small,high,unacc
vhigh,vhigh,4,med,low,unacc
vhigh,vhigh,4,med,med,unacc
vhigh,vhigh,4,med,high,unacc
vhigh,vhigh,4,big,low,unacc
vhigh,vhigh,4,big,med,unacc
vhigh,vhigh,4,big,high,unacc
vhigh,vhigh,more,small,low,unacc
vhigh,vhigh,more,small,med,unacc
vhigh,vhigh,more,small,high,unacc
vhigh,vhigh,more,med,low,unacc
vhigh,vhigh,more,med,med,unacc
vhigh,vhigh,more,med,high,unacc
vhigh,vhigh,more,big,low,unacc
vhigh,vhigh,more,big,med,unacc
vhigh,vhigh,more,big,high,unacc
vhigh,vhigh,2,small,low,unacc
vhigh,vhigh,2,small,med,unacc
vhigh,vhigh,2,small,high,unacc
vhigh,vhigh,2,med,low,unacc
vhigh,vhigh,2,med,med,unacc
vhigh,vhigh,2,med,high,unacc
vhigh,vhigh,2,big,low,unacc
vhigh,vhigh,2,big,med,unacc
vhigh,vhigh,2,big,high,unacc
